Jp,En,speaker,english,speaker,english,speaker
"ここだけの話ですが
覚者様に、ぜひ"ご紹介したい依頼"があるんです
――その、あまり腕の立たない方には
ご紹介できない依頼、でして――","This is just between us -
I have a ""special request"" I'd like
to present to you, Arisen.
-You see, it's not the sort of job
I could offer to just anyone...",Lisa,,Lisa,,Lisa
"ご紹介したい"依頼"があるんです――
多少、"危険な依頼"なのですが
覚者様ほどの方であれば――","There's a ""commission"" I'd like
to present - though it carries
""considerable risk""...but for
someone like you, Arisen...",Lisa,,Lisa,,Lisa
"《ワイルドハント》から
いくつか依頼をご紹介いたします！","I have some tasks to present 
on behalf of the 《Wild Hunt》!",Lisa,,Lisa,,Lisa
"流石の腕前ですね！
今回の依頼、実はワイルドハントの中でも
《Sランク》に値する珍しい討伐対象だったんです！","Remarkable work, Ser! 
This task involved 
a rare 《S Rank》 foe within the Wild Hunt!",Lisa,,Lisa,,Lisa
"依頼にはそれぞれランクがあるのですが
Sランクともなると、もう一目見ただけで
「普通とは違う！」とわかるような
珍しい魔物が対象になりますよ","Every request is given a rank, and for S Rank, 
you'll know at a glance, 
""This isn't normal!"" 
The target is often a rare monster.",Lisa,,Lisa,,Lisa
"高ランクの依頼は報酬も良い分
なかなか回ってこないのが難点ですが――
ワイルドハントの実績を積めば
優先的に回ってくるようになるかもしれません","High-rank requests offer better
rewards, but rarely come your way -
though proving yourself in Wild Hunts
may get you priority access.",Lisa,,Lisa,,Lisa
"依頼は毎日数件届きます
宿屋によるついでにでも
ぜひ覗いてみてくださいね！","Requests arrive daily. 
So when you're at the inn, 
don't forget to have a look!",Lisa,,Lisa,,Lisa
"魔物にも個性というものがあるのをご存じですか？
わかりやすいところだと体の色や大きさなんかが
違ったりするようです
――私たちがそれに気付くことは稀ですけれど","Did you know monsters have their own
individuality? Obvious differences
include color and size variations.
-Though we rarely notice such details.",Lisa,,Lisa,,Lisa
"そんな個性が一際強く発現して
強力に育った魔物――そういった魔物の
討伐依頼を《ワイルドハント》と呼び
腕の立つ方だけにご紹介しているんです","Monsters whose traits manifest strongly 
and grow into powerful beings...
Such creatures are the focus of 
《Wild Hunt》 requests, 
and we only offer them to the skilled.",Lisa,,Lisa,,Lisa
"ちょうど今、１件依頼が舞い込んできています
覚者様の腕前なら
私も安心してご紹介できるのですが――
これを機に、いかがでしょう？","A request has just come in. 
Given your abilities, Ser, 
I can offer it with confidence― 
Would you like to take it on?",Lisa,,Lisa,,Lisa
"危険な分、報酬もなかなかなんですよ
依頼を達成し、きちんと報告していただければ
たくさんのプレイポイントをお渡しいたします
討伐するだけでなく、報告までセットでお願いしますね","The risks are high, but so are the rewards. 
Complete the task and report back, 
and you'll earn plenty of Play Points. 
Remember, it's not just about 
the hunt; reporting is essential too!",Lisa,,Lisa,,Lisa
"そうそう、ワイルドハントは危険な依頼ですから
クエストが破棄された場合、すぐに次の方へ
依頼を回すようにしているんです","Indeed, 
the Wild Hunt involves dangerous requests, 
so if a quest is abandoned, 
we promptly assign it to the next 
available candidate.",Lisa,,Lisa,,Lisa
"ですので、依頼を破棄されると、その日のうちに
同じ依頼を受け直すことはできなくなります
間違って破棄しないようにご注意ください","As such, if you cancel a request, 
you won't be able to accept 
the same one again that day. 
Please take care not to 
discard it by mistake.",Lisa,,Lisa,,Lisa
