old,new,english,speaker
"疲れてるなら一眠りしていくか？
ここは静かだし、見た目よりは
寝心地も悪くないぜ",,,Joaquim
"よし、一休みするなら<VAL PRICE_INN>だ
――これで金儲けしようってんじゃない
寝床を整える手間賃みたいなもんだよ
で、休んでいくのか？",,,Joaquim
はい,Yes,,Joaquim
いいえ,No,,Joaquim
"ああ、今なら好きに休んでいっていいぜ
あんたも覚者とはいえ、疲れ溜まってんだろ？",,,Joaquim
はい,Yes,,Joaquim
いいえ,No,,Joaquim
"《弱化の治療》か
いや、できるんだが俺たちのルールで
<VAL PRICE_WEAK>もらうことにしてるんだ
手持ちはあるのか？",,,Joaquim
はい,Yes,,Joaquim
いいえ,No,,Joaquim
"ん？　弱化してるヤツってのは
もっと弱弱しい感じになるんだぜ
あんた、強いみたいだが演技はまだまだだな",,,Joaquim
"寝床がもっとたくさんあれば
保護してる人たちもゆっくり休ませてやれるんだが",,,Joaquim
"まぁ、どう言いつくろっても盗賊だから
外でさ迷ってる人に声をかけても
逃げられることの方が多くて――",,,Joaquim
"俺たち盗賊団ほど自由な集まりは無いと思うぜ
色んなところへフラフラ行っちまうヤツが
結構多いから、外でも見かけるかもな",,,Joaquim
