old,english,speaker
やあ、君か――,,Leo
"ここに来たのは
もちろん、アレを探して――だよね？",,Elliot
"僕もジョゼフさまから聞いたよ
《竜王の指輪》のこと",,Leo
"失われた魔器――それも３００年前だろ
ディアマンテスが絡んでるに違いないよ",,Leo
"そう考えてるんだけどさ
問題は、それを何に使ったか――",,Gurdolin
"さて、これからする話は
僕の単なる推測さ",,Lise
"この場所、《古の祭祀場》は強い竜力が
渦巻く場所だということは知ってるよね",,Leo
その強い竜力は魔物を引き寄せるだけじゃなく――,,Gurdolin
"君たち覚者の力を高める可能性だって
あると思うんだ",,Leo
"ほら、結晶化した竜力はオーブになったり
武具の材料にだってなるだろ？",,Leo
"きっと、それは３００年前も今も
同じなんじゃないかな",,Leo
だから、気をつけるんだ――,,Leo
"《竜王の指輪》がそういうことに使われたなら
とてつもない危険が待ってるのかも――",,Leo
"僕はこれで帰るけど、どうか無事で
また神殿で会おう",,Leo
